visited_numb,person_id,time,gender,age
1,1328_07,13:28:07.551728,male,32.81
2,1328_07_1,13:28:07.551728,male,36.47
3,1328_07_2,13:28:07.823262,male,32.22
4,1328_07_3,13:28:07.823262,male,35.17
5,1328_08,13:28:08.203348,male,35.17
6,1328_08_1,13:28:08.482654,male,35.17
7,1328_09,13:28:08.880097,male,35.17
8,1328_09_1,13:28:09.187815,male,35.17
9,1328_20,13:28:20.094660,male,35.17
10,1328_22,13:28:22.113787,female,34.22
11,1328_23,13:28:23.268982,male,35.17
12,1328_25,13:28:25.178261,male,35.17
13,1328_30,13:28:30.311765,male,35.17
14,1328_31,13:28:30.713135,male,35.17
15,1328_35,13:28:34.966568,male,35.17
16,1328_55,13:28:55.713281,male,35.71
17,1328_56,13:28:56.271920,male,35.17
18,1328_58,13:28:58.110069,male,35.39
19,1328_58_1,13:28:58.432037,male,35.17
20,1329_00,13:29:00.539300,male,37.65
21,1329_35,13:29:35.543400,male,29.17
22,1329_36,13:29:36.808323,male,11.56
23,1329_43,13:29:43.011668,female,32.75
24,1329_43_1,13:29:43.308850,male,44.32
25,1329_45,13:29:45.216465,male,35.02
26,1330_42,13:30:42.663634,female,37.17
27,1330_54,13:30:54.289403,male,37.7
28,1331_00,13:31:00.522518,female,35.24
29,1331_01,13:31:01.358487,male,24.98
30,1331_12,13:31:12.726837,male,45.8
31,1331_26,13:31:26.416858,female,30.08
32,1331_26_1,13:31:26.904078,female,37.19
33,1331_36,13:31:36.884004,male,36.16
34,1331_42,13:31:42.229218,female,39.55
35,1331_45,13:31:44.544861,male,34.23
36,1331_45_1,13:31:44.544861,male,21.08
37,1332_59,13:32:59.162595,male,35.17
38,1333_44,13:33:44.877637,male,32.69
39,1333_48,13:33:48.199841,male,32.33
40,1333_49,13:33:49.207186,female,56.49
41,1333_52,13:33:51.975709,female,66.04
42,1334_30,13:34:30.770517,male,35.17
43,1334_57,13:34:57.516348,male,35.17
44,1334_59,13:34:59.423919,male,35.17
45,1337_43,13:37:43.665907,female,22.07
