visited_numb,person_id,time,gender,age
53,1358_20,13:58:19.325286,male,35.17
54,1358_35,13:58:35.571669,male,35.17
55,1358_37,13:58:37.740205,male,35.17
56,1359_46,13:59:46.720099,male,36.7
57,1400_02,14:00:02.798837,male,37.29
58,1400_27,14:00:27.231949,female,29.94
59,1401_08,14:01:08.182549,male,32.78
60,1401_16,14:01:16.605271,female,26.81
61,1402_54,14:02:53.993818,male,35.17
62,1402_56,14:02:55.966544,male,35.17
63,1403_18,14:03:18.212114,male,21.38
64,1403_22,14:03:22.026165,male,35.17
65,1403_23,14:03:23.039528,male,14.31
66,1403_25,14:03:25.136532,male,34.61
67,1404_20,14:04:20.122661,male,35.17
68,1404_52,14:04:52.010992,female,31.41
69,1405_13,14:05:13.243278,male,32.47
70,1405_39,14:05:39.807460,male,32.75
71,1405_45,14:05:45.483330,male,35.88
72,1405_46,14:05:46.228380,male,40.83
73,1405_53,14:05:53.729984,female,27.91
74,1406_19,14:06:19.857910,male,35.17
75,1407_05,14:07:05.722453,male,35.17
76,1407_42,14:07:41.999853,male,35.17
77,1415_14,14:15:13.974275,female,34.21
78,1415_18,14:15:18.557226,female,32.9
79,1415_29,14:15:29.513577,female,32.05
80,1416_02,14:16:01.990392,male,35.17
81,1416_20,14:16:19.963886,male,35.17
82,1416_23,14:16:23.431973,male,34.49
83,1417_52,14:17:52.781587,male,32.82
84,1418_10,14:18:10.178372,male,34.23
85,1418_33,14:18:33.536970,male,38.05
86,1418_42,14:18:42.154768,female,33.14
87,1418_54,14:18:54.631467,female,31.41
88,1419_12,14:19:12.797606,female,34.15
89,1419_25,14:19:25.882304,male,40.15
90,1419_51,14:19:51.615141,male,52.68
91,1421_14,14:21:14.589392,female,26.27
92,1421_23,14:21:23.538712,male,35.17
93,1424_43,14:24:43.860453,male,26.31
94,1424_54,14:24:54.871911,male,32.28
95,1425_02,14:25:01.912406,male,33.75
96,1425_30,14:25:30.219382,male,37.51
97,1426_07,14:26:07.338448,male,36.8
98,1426_36,14:26:36.802112,male,36.74
99,1428_02,14:28:02.478276,male,64.25
100,1429_40,14:29:40.540740,male,35.17
101,1432_03,14:32:03.757323,female,34.12
102,1432_03_1,14:32:03.885543,male,34.91
103,1434_30,14:34:30.598578,male,34.94
104,1442_18,14:42:18.387437,male,36.7
105,1448_44,14:48:44.492232,male,33.14
106,1449_09,14:49:09.355103,male,37.45
107,1450_04,14:50:04.517462,male,29.55
108,1450_31,14:50:30.972900,female,30.9
109,1451_57,14:51:57.177710,male,24.34
110,1455_57,14:55:57.676710,male,38.56
111,1457_19,14:57:19.090668,male,35.86
112,1502_19,15:02:19.019752,male,35.17
113,1506_28,15:06:28.028189,male,32.98
114,1510_55,15:10:55.070583,male,14.82
115,1513_28,15:13:28.200636,male,37.28
116,1520_33,15:20:33.209476,male,35.37
117,1521_27,15:21:27.120033,female,38.49
118,1523_43,15:23:43.270356,female,15.76
119,1524_37,15:24:36.978577,male,34.46
120,1526_21,15:26:21.398999,female,37.63
121,1528_29,15:28:29.829929,female,28.99
122,1528_36,15:28:36.685650,female,35.22
123,1530_14,15:30:13.970586,male,23.6
124,1540_02,15:40:02.775406,male,35.17
125,1540_34,15:40:34.215749,male,35.17
126,1544_22,15:44:22.134163,male,35.17
127,1546_26,15:46:25.994264,female,30.79
128,1602_16,16:02:16.294457,male,30.9
129,1602_20,16:02:20.897249,male,27.8
130,1610_17,16:10:17.167477,male,35.17
131,1610_20,16:10:20.004406,female,33.35
132,1610_42,16:10:42.516918,female,31.97
133,1611_17,16:11:17.823738,male,42.21
134,1616_38,16:16:38.183423,male,37.42
135,1620_30,16:20:30.590846,male,35.17
136,1624_05,16:24:05.653611,male,35.17
137,1625_17,16:25:17.794199,female,30.86
138,1747_06,17:47:06.068707,female,33.22
139,1759_30,17:59:30.305654,male,34.31
140,1812_21,18:12:21.448645,male,39.54
141,1825_33,18:25:33.629570,male,35.17
142,1827_08,18:27:08.533287,male,35.31
143,1828_34,18:28:34.534063,male,35.17
144,1855_10,18:55:10.364894,male,36.57
145,1900_31,19:00:31.551231,male,32.93
146,1905_51,19:05:51.803934,female,31.16
147,1906_39,19:06:39.783964,male,35.95
148,1907_08,19:07:08.185466,male,35.17
149,1908_17,19:08:17.327941,male,43.36
150,1912_51,19:12:51.392878,male,33.9
151,1913_56,19:13:56.844543,male,32.15
152,1921_12,19:21:12.548619,male,35.99
153,1929_21,19:29:21.192595,male,35.17
154,1933_01,19:33:01.410103,male,35.17
155,1933_17,19:33:17.244802,female,35.41
156,1933_21,19:33:21.517283,female,30.26
157,1933_48,19:33:48.585704,male,32.02
158,1938_52,19:38:52.500482,female,36.07
159,1941_37,19:41:37.921587,male,35.41
160,1948_39,19:48:39.510078,male,35.17
161,1959_55,19:59:54.894128,male,35.17
162,2015_13,20:15:13.157426,male,40.73
163,2021_34,20:21:34.518904,male,35.17
164,2030_56,20:30:55.960990,male,36.97
165,2047_29,20:47:29.024412,male,36.75
166,2055_20,20:55:20.899339,male,33.9
167,2105_40,21:05:40.706608,male,35.17
168,2113_47,21:13:47.613288,male,39.32
169,2136_27,21:36:27.907955,male,35.89
170,2156_03,21:56:03.455531,male,35.17
171,2208_46,22:08:46.625795,male,35.86
