visited_numb,person_id,time,gender,age
3,2041_34,2024-08-12 20:41:34.277651,male,26.3
4,2043_00,2024-08-12 20:43:00.460083,female,22.3
5,2043_01,2024-08-12 20:43:01.184935,female,22.27
6,2043_07,2024-08-12 20:43:07.583485,female,34.47
7,2043_08,2024-08-12 20:43:08.214827,male,36.93
8,2043_08_1,2024-08-12 20:43:08.214827,male,37.27
9,2043_08_2,2024-08-12 20:43:08.651172,male,12.2
10,2043_08_3,2024-08-12 20:43:08.882571,female,35.73
11,2043_16,2024-08-12 20:43:16.225586,female,33.73
12,2043_16_1,2024-08-12 20:43:16.225586,male,35.17
13,2043_16_2,2024-08-12 20:43:16.225586,male,35.17
14,2043_17,2024-08-12 20:43:16.990368,male,8.76
15,2043_17_1,2024-08-12 20:43:17.663100,male,35.65
16,2043_19,2024-08-12 20:43:19.705403,male,35.17
17,2043_21,2024-08-12 20:43:21.069543,male,36.34
18,2043_24,2024-08-12 20:43:24.230516,male,35.17
19,2043_25,2024-08-12 20:43:25.291140,male,35.17
20,2043_27,2024-08-12 20:43:27.674272,female,31.59
21,2043_27_1,2024-08-12 20:43:27.674272,male,35.6
22,2043_32,2024-08-12 20:43:32.264885,male,35.83
