visited_numb,person_id,time,gender,age
1,1650_26,2024-08-20 16:50:26.923799,male,38.27
2,1650_27,2024-08-20 16:50:26.923799,male,35.17
3,1650_27_1,2024-08-20 16:50:27.234936,male,35.17
4,1650_27_2,2024-08-20 16:50:27.234936,male,35.17
5,1650_27_3,2024-08-20 16:50:27.503674,male,35.17
6,1650_27_4,2024-08-20 16:50:27.942127,male,28.67
7,1650_28,2024-08-20 16:50:28.345490,male,35.17
8,1650_28_1,2024-08-20 16:50:28.550302,male,35.17
9,1650_29,2024-08-20 16:50:29.268609,male,35.17
10,1650_30,2024-08-20 16:50:30.230151,male,35.17
11,1650_30_1,2024-08-20 16:50:30.688183,male,35.17
12,1650_31,2024-08-20 16:50:31.598417,male,35.17
13,1650_32,2024-08-20 16:50:31.957148,male,35.17
14,1650_32_1,2024-08-20 16:50:32.658460,male,35.17
15,1650_33,2024-08-20 16:50:33.724645,male,35.17
16,1650_34,2024-08-20 16:50:34.560212,male,34.62
17,1650_36,2024-08-20 16:50:36.146131,male,35.17
18,1650_36_1,2024-08-20 16:50:36.727622,male,35.17
19,1650_38,2024-08-20 16:50:37.934369,male,35.17
20,1650_38_1,2024-08-20 16:50:38.780291,male,35.17
21,1650_40,2024-08-20 16:50:40.197530,male,35.17
22,1650_43,2024-08-20 16:50:43.643456,male,35.17
23,1650_44,2024-08-20 16:50:44.538464,male,35.17
24,1650_45,2024-08-20 16:50:44.963266,male,35.17
25,1650_48,2024-08-20 16:50:48.573693,male,35.17
26,1650_51,2024-08-20 16:50:51.133973,male,35.17
27,1650_52,2024-08-20 16:50:52.266215,male,35.17
28,1650_54,2024-08-20 16:50:54.125897,male,31.86
29,1650_55,2024-08-20 16:50:55.754571,female,31.51
30,1651_00,2024-08-20 16:51:00.575830,male,35.17
31,1651_00_1,2024-08-20 16:51:00.575830,male,35.17
32,1651_01,2024-08-20 16:51:01.046652,male,35.17
33,1651_04,2024-08-20 16:51:03.609336,male,35.17
34,1651_04_1,2024-08-20 16:51:04.640455,male,33.61
35,1651_05,2024-08-20 16:51:05.532529,male,35.17
36,1651_06,2024-08-20 16:51:05.951379,male,35.17
37,1651_08,2024-08-20 16:51:08.259534,male,22.46
38,1651_10,2024-08-20 16:51:09.932334,male,34.22
39,1651_13,2024-08-20 16:51:13.218943,male,35.17
40,1651_21,2024-08-20 16:51:20.977746,male,35.17
41,1651_28,2024-08-20 16:51:27.801196,male,35.17
42,1651_29,2024-08-20 16:51:29.547820,female,33.69
43,1651_31,2024-08-20 16:51:31.480841,female,35.15
44,1651_33,2024-08-20 16:51:33.399292,male,35.17
45,1651_39,2024-08-20 16:51:39.079120,male,35.17
46,1651_42,2024-08-20 16:51:42.071832,male,35.17
47,1651_43,2024-08-20 16:51:43.905013,male,34.61
48,1651_44,2024-08-20 16:51:44.573925,male,35.17
49,1651_52,2024-08-20 16:51:52.000492,male,35.17
50,1652_05,2024-08-20 16:52:05.023980,male,35.17
51,1652_16,2024-08-20 16:52:16.489495,female,29.5
52,1652_19,2024-08-20 16:52:19.455641,male,35.17
53,1652_30,2024-08-20 16:52:30.301492,male,35.17
54,1652_34,2024-08-20 16:52:34.712974,male,35.17
55,1652_52,2024-08-20 16:52:52.169016,male,35.17
56,1653_01,2024-08-20 16:53:01.322723,female,29.69
57,1653_03,2024-08-20 16:53:03.604575,male,35.17
58,1653_12,2024-08-20 16:53:12.366128,male,35.17
59,1653_16,2024-08-20 16:53:16.213740,male,35.17
60,1653_16_1,2024-08-20 16:53:16.629529,male,35.17
