visited_numb,person_id,time,gender,age
1,1630_31,2024-08-20 16:30:31.341770,male,35.17
2,1630_31_1,2024-08-20 16:30:31.341770,female,35.46
3,1630_31_2,2024-08-20 16:30:31.749559,male,35.17
4,1630_35,2024-08-20 16:30:35.509202,female,33.97
5,1630_35_1,2024-08-20 16:30:35.645967,female,34.08
6,1630_36,2024-08-20 16:30:35.990887,male,35.17
7,1630_37,2024-08-20 16:30:37.215956,male,35.17
8,1630_41,2024-08-20 16:30:40.905399,male,32.22
9,1630_49,2024-08-20 16:30:48.816166,male,35.17
10,1631_07,2024-08-20 16:31:07.085232,male,35.17
11,1631_26,2024-08-20 16:31:26.351787,male,35.17
12,1631_50,2024-08-20 16:31:50.151633,male,35.17
