visited_numb,person_id,time,gender,age
1,1343_16,13:43:16.069693,male,37.68
2,1343_16_1,13:43:16.069693,male,30.96
3,1343_16_2,13:43:16.069693,male,35.17
4,1343_16_3,13:43:16.752946,female,34.96
5,1343_16_4,13:43:16.940038,male,25.7
6,1343_17,13:43:16.940038,male,35.17
7,1343_18,13:43:18.002903,female,34.13
8,1343_18_1,13:43:18.371960,male,38.77
9,1343_18_2,13:43:18.765423,male,35.17
10,1343_20,13:43:20.532774,male,37.1
11,1343_24,13:43:24.382527,male,32.03
12,1343_26,13:43:26.674539,female,32.05
13,1343_29,13:43:29.040352,male,34.45
14,1343_33,13:43:33.679226,male,35.17
15,1343_36,13:43:36.778075,female,27.75
16,1344_20,13:44:20.084109,male,29.97
17,1344_20_1,13:44:20.580985,female,29.73
18,1344_28,13:44:28.737113,male,36.94
19,1344_32,13:44:32.807727,female,39.35
20,1344_35,13:44:35.092674,female,29.86
21,1345_00,13:45:00.943968,male,33.11
22,1345_01,13:45:01.643748,female,35.39
23,1345_16,13:45:16.567728,male,36.67
24,1345_37,13:45:37.024123,female,34.24
25,1346_10,13:46:10.166426,female,31.76
26,1347_13,13:47:13.245644,male,33.54
27,1347_26,13:47:26.538157,female,34.37
28,1347_36,13:47:36.397495,male,35.17
29,1347_37,13:47:37.901091,male,35.17
30,1347_55,13:47:55.723450,male,38.86
31,1348_07,13:48:07.244110,male,35.17
32,1348_10,13:48:10.454007,male,35.17
33,1348_12,13:48:12.560669,male,32.2
34,1348_14,13:48:14.376786,male,32.07
35,1348_15,13:48:15.115454,female,35.17
36,1348_20,13:48:20.886307,male,21.95
37,1348_23,13:48:23.555328,female,29.17
38,1348_24,13:48:24.755665,male,37.12
39,1348_52,13:48:52.741445,male,37.24
40,1348_53,13:48:53.240664,male,35.68
41,1349_03,13:49:03.829526,female,29.87
42,1349_10,13:49:10.238793,male,35.17
43,1349_26,13:49:26.075396,female,33.9
44,1349_37,13:49:37.223309,female,33.04
45,1350_00,13:50:00.604951,male,31.96
46,1350_28,13:50:28.395798,male,38.37
47,1350_29,13:50:29.717483,male,28.84
48,1351_26,13:51:26.173990,female,34.55
49,1351_38,13:51:38.586305,male,35.17
50,1351_52,13:51:52.047803,male,35.17
51,1353_34,13:53:34.204505,male,26.36
52,1354_03,13:54:03.499715,male,36.86
