visited_numb,person_id,time,gender,age
1,1624_44,2024-08-20 16:24:44.029007,male,46.66
2,1624_44_1,2024-08-20 16:24:44.029007,male,34.71
3,1624_44_2,2024-08-20 16:24:44.029007,male,35.17
4,1624_44_3,2024-08-20 16:24:44.758144,male,35.17
5,1624_45,2024-08-20 16:24:45.281129,male,39.62
6,1624_49,2024-08-20 16:24:49.208586,male,49.66
7,1624_57,2024-08-20 16:24:57.401076,male,36.1
8,1624_58,2024-08-20 16:24:58.524327,female,44.84
9,1625_02,2024-08-20 16:25:01.648724,male,35.17
10,1625_02_1,2024-08-20 16:25:02.072271,female,37.77
11,1625_04,2024-08-20 16:25:03.845405,male,35.17
12,1625_06,2024-08-20 16:25:06.231721,female,37.56
13,1625_07,2024-08-20 16:25:07.030155,male,35.17
14,1625_17,2024-08-20 16:25:17.253741,male,35.17
15,1625_20,2024-08-20 16:25:20.011862,male,35.17
16,1625_35,2024-08-20 16:25:35.442901,female,31.29
